framework_name,version,language,http_library,tls_version,ja4_signature,simplified_ja4,test_date,verified_runs,detection_rate,false_positive_rate,notes
Ai21,TBD,Python,TBD,1.3,t00d181200_351c72009e44_c1f7128d93bc,t10_simplified_12da2b477a58,2025-12-28,1/9,TBD,TBD,Extracted from PCAP. 9 handshake(s) captured. 1/9 consistent. Note: Simplified signature (not full JA4 spec).
Anthropic,TBD,Python,TBD,1.3,t00d1812h1_538207513f28_4041b17ab131,t10_simplified_2f619ad8477b,2025-12-28,1/8,TBD,TBD,Extracted from PCAP. 8 handshake(s) captured. 1/8 consistent. Note: Simplified signature (not full JA4 spec).
AutoGen,TBD,Python,TBD,1.3,t00d1812h1_538207513f28_c274cfeb10f6,t10_simplified_2b2f4f30901e,2025-12-28,1/2,TBD,TBD,Extracted from PCAP. 2 handshake(s) captured. 1/2 consistent. Note: Simplified signature (not full JA4 spec).
Cohere,TBD,Python,TBD,1.3,t00d201200_35a4755dbb49_dd891df50e08,t10_simplified_274b3a15c185,2025-12-28,1/10,TBD,TBD,Extracted from PCAP. 10 handshake(s) captured. 1/10 consistent. Note: Simplified signature (not full JA4 spec).
CrewAI,TBD,Python,TBD,1.3,t00d1813h1_538207513f28_74714ca78b9e,t10_simplified_9c0315a5b820,2025-12-28,1/5,TBD,TBD,Extracted from PCAP. 5 handshake(s) captured. 1/5 consistent. Note: Simplified signature (not full JA4 spec).
Google Gemini,TBD,Python,TBD,1.3,t00d0713h2_49360c955cc5_aa01abc43e8c,,2025-12-28,6/22,TBD,TBD,Full JA4 signature (official tool). 22 handshake(s). Multiple signatures (8 unique).
Gpt4All,TBD,Python,TBD,1.3,t00d1616h2_4057d54ba945_bf8d0fd69941,t10_simplified_cb81247eb90a,2025-12-28,1/4,TBD,TBD,Extracted from PCAP. 4 handshake(s) captured. 1/4 consistent. Note: Simplified signature (not full JA4 spec).
Groq,TBD,Python,TBD,1.3,t00d1812h1_538207513f28_4041b17ab131,,2025-12-28,3/8,TBD,TBD,Full JA4 signature (official tool). 8 handshake(s). Multiple signatures (4 unique).
Haystack,TBD,Python,TBD,1.3,t00d181200_351c72009e44_c1f7128d93bc,t10_simplified_2edf8048dce8,2025-12-28,1/12,TBD,TBD,Extracted from PCAP. 12 handshake(s) captured. 1/12 consistent. Note: Simplified signature (not full JA4 spec).
LangChain,TBD,Python,TBD,1.3,t00d1812h1_538207513f28_4041b17ab131,t10_simplified_e23567ed3416,2025-12-28,1/15,TBD,TBD,Extracted from PCAP. 15 handshake(s) captured. 1/15 consistent. Note: Simplified signature (not full JA4 spec).
Langflow,TBD,Python,TBD,1.3,t00d181200_351c72009e44_c1f7128d93bc,t10_simplified_8ffe3bf79bb1,2025-12-28,1/4,TBD,TBD,Extracted from PCAP. 4 handshake(s) captured. 1/4 consistent. Note: Simplified signature (not full JA4 spec).
LlamaIndex,TBD,Python,TBD,1.3,t00d1812h1_538207513f28_4041b17ab131,t10_simplified_1b271fb66b3b,2025-12-28,1/8,TBD,TBD,Extracted from PCAP. 8 handshake(s) captured. 1/8 consistent. Note: Simplified signature (not full JA4 spec).
Mistral AI,TBD,Python,TBD,1.3,t00d2013h2_35a4755dbb49_dd891df50e08,t10_simplified_40f5f2312fbb,2025-12-28,1/4,TBD,TBD,Extracted from PCAP. 4 handshake(s) captured. 1/4 consistent. Note: Simplified signature (not full JA4 spec).
Nvidia,TBD,Python,TBD,1.3,t00d181200_351c72009e44_c1f7128d93bc,t10_simplified_b0b5a9b4735a,2025-12-28,1/8,TBD,TBD,Extracted from PCAP. 8 handshake(s) captured. 1/8 consistent. Note: Simplified signature (not full JA4 spec).
Ollama,TBD,Python,TBD,1.3,t00d1812h1_351c72009e44_549672484f7c,t12_simplified_61a2b3ce12ef,2025-12-28,1/10,TBD,TBD,Extracted from PCAP. 10 handshake(s) captured. 1/10 consistent. Note: Simplified signature (not full JA4 spec).
OpenAI,TBD,Python,TBD,1.3,t00d1812h1_538207513f28_4041b17ab131,t10_simplified_7130d89b6016,2025-12-28,1/32,TBD,TBD,Extracted from PCAP. 32 handshake(s) captured. 1/32 consistent. Note: Simplified signature (not full JA4 spec).
